Year,Area(Hectares),Quantity(Tonnes),Yield(hg/ha),GPV(USD)
1961,1013700,1935700,19095,221.401523
1962,1103037,1973137,17888,225.68349300000003
1963,1014049,1592851,15708,182.187135
1964,1154747,2142857,18557,245.095729
1965,1130414,2453283,21703,280.60163900000003
1966,1081799,2348683,21711,268.637699
1967,1166862,3021625,25895,345.60746800000004
1968,1331206,3360554,25244,384.373495
1969,1321000,3585385,27141,410.089218
1970,1274000,2722523,21370,311.396775
1971,1273000,3921939,30809,448.583596
1972,1317000,4094570,31090,468.32878700000003
1973,1294038,4502385,34793,514.9738570000001
1974,1324849,4970811,37520,568.5514929999999
1975,1250873,4007324,32036,458.349763
1976,1325285,5148100,38845,588.829457
1977,1311219,5319049,40566,608.382264
1978,1324270,5677255,42871,649.353155
1979,1135350,3708866,32667,424.21272999999997
1980,1275598,6077330,47643,695.11294
1981,1150656,4613863,40098,527.7244900000001
1982,1309536,5761862,43999,659.030336
1983,1354926,5985098,44173,684.563627
1984,1360565,7391963,54330,845.4780519999999
1985,1357776,6578346,48449,752.418155
1986,1328000,5793015,43622,662.593554
1987,1300639,5747761,44192,657.417492
1988,1280729,7025775,54858,803.594196
1989,1242233,6539521,52643,747.977429
1990,1220818,6198256,50771,708.944215
1991,1157600,6007888,51900,687.170301
1992,848430,3453112,40700,394.960095
1993,985548,3020655,30649,345.496522
1994,1058749,4873751,46033,557.449963
1995,1108000,4614200,41644,527.763035
1996,1193340,3911820,32780,447.426205
1997,1247569,5258817,42153,601.493048
1998,1183540,4898634,41390,560.296031
1999,734100,2638970,35948,301.840149
2000,1024430,3692470,36044,422.337388
2001,1205610,5196760,43105,594.395091
2002,1110471,3910244,35212,447.245945
2003,1113755,2941248,26408,336.414107
2004,1173800,6006820,51174,687.048146
2005,1130719,5088219,45000,581.9803870000001
2006,1074735,4376235,40719,500.545071
2007,1111269,3986708,35875,455.991746
2008,1125629,5630833,50024,644.043499
2009,1146456,4419163,38546,505.45509000000004
2010,1011182,3745190,37038,428.367397
2011,978000,4107000,41994,469.750506
2012,1070020,4010990,37485,458.76907300000005
2013,1090480,5058300,46386,578.558311
2014,1112730,5261890,47288,601.844531
2015,1029318,5331426,51796,609.797921
2016,1044314,5603184,53654,547.645036
