Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1961","1961","ha","1013700","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1962","1962","ha","1103037","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1963","1963","ha","1014049","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1964","1964","ha","1154747","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1965","1965","ha","1130414","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1966","1966","ha","1081799","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1967","1967","ha","1166862","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1968","1968","ha","1331206","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1969","1969","ha","1321000","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1970","1970","ha","1274000","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1971","1971","ha","1273000","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1972","1972","ha","1317000","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1973","1973","ha","1294038","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1974","1974","ha","1324849","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1975","1975","ha","1250873","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1976","1976","ha","1325285","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1977","1977","ha","1311219","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1978","1978","ha","1324270","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1979","1979","ha","1135350","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1980","1980","ha","1275598","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1981","1981","ha","1150656","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1982","1982","ha","1309536","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1983","1983","ha","1354926","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1984","1984","ha","1360565","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1985","1985","ha","1357776","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1986","1986","ha","1328000","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1987","1987","ha","1300639","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1988","1988","ha","1280729","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1989","1989","ha","1242233","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1990","1990","ha","1220818","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1991","1991","ha","1157600","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1992","1992","ha","848430","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1993","1993","ha","985548","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1994","1994","ha","1058749","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1995","1995","ha","1108000","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1996","1996","ha","1193340","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1997","1997","ha","1247569","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1998","1998","ha","1183540","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","1999","1999","ha","734100","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","2000","2000","ha","1024430","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","2001","2001","ha","1205610","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","2002","2002","ha","1110471","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","2003","2003","ha","1113755","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","2004","2004","ha","1173800","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","2005","2005","ha","1130719","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","2006","2006","ha","1074735","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","2007","2007","ha","1111269","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","2008","2008","ha","1125629","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","2009","2009","ha","1146456","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","2010","2010","ha","1011182","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","2011","2011","ha","978000","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","2012","2012","ha","1070020","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","2013","2013","ha","1090480","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","2014","2014","ha","1112730","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","2015","2015","ha","1029318","","Official data",""
"QC","Crops","97","Hungary","5312","Area harvested","15","Wheat","2016","2016","ha","1044314","","Official data",""
