Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1961","1961","USD","221.401523","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1962","1962","USD","225.683493","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1963","1963","USD","182.187135","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1964","1964","USD","245.095729","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1965","1965","USD","280.601639","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1966","1966","USD","268.637699","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1967","1967","USD","345.607468","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1968","1968","USD","384.373495","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1969","1969","USD","410.089218","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1970","1970","USD","311.396775","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1971","1971","USD","448.583596","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1972","1972","USD","468.328787","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1973","1973","USD","514.973857","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1974","1974","USD","568.551493","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1975","1975","USD","458.349763","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1976","1976","USD","588.829457","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1977","1977","USD","608.382264","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1978","1978","USD","649.353155","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1979","1979","USD","424.21273","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1980","1980","USD","695.11294","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1981","1981","USD","527.72449","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1982","1982","USD","659.030336","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1983","1983","USD","684.563627","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1984","1984","USD","845.478052","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1985","1985","USD","752.418155","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1986","1986","USD","662.593554","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1987","1987","USD","657.417492","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1988","1988","USD","803.594196","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1989","1989","USD","747.977429","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1990","1990","USD","708.944215","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1991","1991","USD","687.170301","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1992","1992","USD","394.960095","Fc","Calculated data",""
"QV","Value of Agricultural Production","97","Hungary","58","Gross Production Value (constant 2004-2006 million US$)","15","Wheat","1993","1993","USD","345.496522","Fc","Calculated data",""
