Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1961","1961","tonnes","1935700","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1962","1962","tonnes","1973137","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1963","1963","tonnes","1592851","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1964","1964","tonnes","2142857","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1965","1965","tonnes","2453283","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1966","1966","tonnes","2348683","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1967","1967","tonnes","3021625","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1968","1968","tonnes","3360554","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1969","1969","tonnes","3585385","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1970","1970","tonnes","2722523","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1971","1971","tonnes","3921939","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1972","1972","tonnes","4094570","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1973","1973","tonnes","4502385","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1974","1974","tonnes","4970811","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1975","1975","tonnes","4007324","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1976","1976","tonnes","5148100","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1977","1977","tonnes","5319049","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1978","1978","tonnes","5677255","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1979","1979","tonnes","3708866","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1980","1980","tonnes","6077330","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1981","1981","tonnes","4613863","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1982","1982","tonnes","5761862","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1983","1983","tonnes","5985098","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1984","1984","tonnes","7391963","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1985","1985","tonnes","6578346","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1986","1986","tonnes","5793015","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1987","1987","tonnes","5747761","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1988","1988","tonnes","7025775","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1989","1989","tonnes","6539521","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1990","1990","tonnes","6198256","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1991","1991","tonnes","6007888","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1992","1992","tonnes","3453112","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1993","1993","tonnes","3020655","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1994","1994","tonnes","4873751","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1995","1995","tonnes","4614200","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1996","1996","tonnes","3911820","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1997","1997","tonnes","5258817","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1998","1998","tonnes","4898634","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","1999","1999","tonnes","2638970","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","2000","2000","tonnes","3692470","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","2001","2001","tonnes","5196760","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","2002","2002","tonnes","3910244","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","2003","2003","tonnes","2941248","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","2004","2004","tonnes","6006820","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","2005","2005","tonnes","5088219","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","2006","2006","tonnes","4376235","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","2007","2007","tonnes","3986708","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","2008","2008","tonnes","5630833","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","2009","2009","tonnes","4419163","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","2010","2010","tonnes","3745190","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","2011","2011","tonnes","4107000","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","2012","2012","tonnes","4010990","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","2013","2013","tonnes","5058300","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","2014","2014","tonnes","5261890","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","2015","2015","tonnes","5331426","","Official data",""
"QC","Crops","97","Hungary","5510","Production","15","Wheat","2016","2016","tonnes","5603184","","Official data",""
