Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1961","1961","hg/ha","19095","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1962","1962","hg/ha","17888","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1963","1963","hg/ha","15708","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1964","1964","hg/ha","18557","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1965","1965","hg/ha","21703","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1966","1966","hg/ha","21711","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1967","1967","hg/ha","25895","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1968","1968","hg/ha","25244","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1969","1969","hg/ha","27141","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1970","1970","hg/ha","21370","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1971","1971","hg/ha","30809","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1972","1972","hg/ha","31090","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1973","1973","hg/ha","34793","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1974","1974","hg/ha","37520","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1975","1975","hg/ha","32036","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1976","1976","hg/ha","38845","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1977","1977","hg/ha","40566","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1978","1978","hg/ha","42871","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1979","1979","hg/ha","32667","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1980","1980","hg/ha","47643","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1981","1981","hg/ha","40098","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1982","1982","hg/ha","43999","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1983","1983","hg/ha","44173","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1984","1984","hg/ha","54330","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1985","1985","hg/ha","48449","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1986","1986","hg/ha","43622","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1987","1987","hg/ha","44192","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1988","1988","hg/ha","54858","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1989","1989","hg/ha","52643","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1990","1990","hg/ha","50771","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1991","1991","hg/ha","51900","Fc","Calculated data",""
"QC","Crops","97","Hungary","5419","Yield","15","Wheat","1992","1992","hg/ha","40700","Fc","Calculated data",""
